"id","category1","category2","category3","recommendation"
"1","sick","happy","calm","Take a warm shower to relax."
"2","sick","happy","calm","Read a good book to distract yourself."
"3","sick","happy","calm","Watch your favorite movie."
"4","sick","happy","calm","Try some herbal tea for comfort."
"5","sick","happy","calm","Listen to calming music."
"6","sick","happy","calm","Spend time with friends or family."
"7","sick","happy","calm","Practice some deep breathing exercises."
"8","sick","happy","calm","Try a gentle yoga session."
"9","sick","happy","calm","Write in a journal to express your feelings."
"10","sick","happy","calm","Take a short walk outside for fresh air."
"11","sick","happy","stressed","Take a break and watch your favorite show."
"12","sick","happy","stressed","Listen to uplifting music to boost your mood."
"13","sick","happy","stressed","Try gentle stretching or yoga to relieve stress."
"14","sick","happy","stressed","Reach out to a friend for a light-hearted chat."
"15","sick","happy","stressed","Engage in a creative hobby, like drawing or writing."
"16","sick","happy","stressed","Take a relaxing bath with soothing scents."
"17","sick","happy","stressed","Practice mindfulness or meditation for stress relief."
"18","sick","happy","stressed","Enjoy a warm cup of tea and some light snacks."
"19","sick","happy","stressed","Write down what makes you happy to reflect on it later."
"20","sick","happy","stressed","Spend time in nature, even if it's just a short walk."
"21","sick","happy","anxious","Practice deep breathing exercises to calm your mind."
"22","sick","happy","anxious","Engage in light reading to distract yourself."
"23","sick","happy","anxious","Write down your feelings to process them better."
"24","sick","happy","anxious","Listen to calming music or sounds to ease anxiety."
"25","sick","happy","anxious","Talk to someone you trust about how you feel."
"26","sick","happy","anxious","Try a guided meditation app to help you relax."
"27","sick","happy","anxious","Watch a funny movie or show to lighten your mood."
"28","sick","happy","anxious","Take a warm bath to soothe your body and mind."
"29","sick","happy","anxious","Spend time with pets for comfort and joy."
"30","sick","happy","anxious","Practice gratitude by listing things you appreciate."
"31","sick","sad","calm","Rest and allow yourself to recover fully."
"32","sick","sad","calm","Take a quiet moment to reflect and breathe deeply."
"33","sick","sad","calm","Engage in gentle stretching to relieve tension."
"34","sick","sad","calm","Write in a journal about your feelings to process them."
"35","sick","sad","calm","Sip warm herbal tea to soothe your body."
"36","sick","sad","calm","Listen to soothing music to lift your spirits."
"37","sick","sad","calm","Try guided meditation to help calm your mind."
"38","sick","sad","calm","Watch a nature documentary for a peaceful escape."
"39","sick","sad","calm","Spend some time in a quiet space with soft lighting."
"40","sick","sad","calm","Practice mindfulness to stay present and relaxed."
"41","sick","sad","stressed","Take a break and practice deep breathing exercises."
"42","sick","sad","stressed","Write down what’s stressing you out to gain clarity."
"43","sick","sad","stressed","Reach out to a friend or family member to talk."
"44","sick","sad","stressed","Engage in a relaxing activity like coloring or drawing."
"45","sick","sad","stressed","Try some gentle yoga to relieve physical tension."
"46","sick","sad","stressed","Watch a funny movie to lighten your mood."
"47","sick","sad","stressed","Create a to-do list to organize your thoughts."
"48","sick","sad","stressed","Consider speaking with a counselor for support."
"49","sick","sad","stressed","Take a warm bath with calming scents."
"50","sick","sad","stressed","Practice gratitude by listing things you are thankful for."
"51","sick","sad","anxious","Practice mindfulness to bring your focus back to the present."
"52","sick","sad","anxious","Write down your worries to help ease your mind."
"53","sick","sad","anxious","Listen to calming music or nature sounds."
"54","sick","sad","anxious","Engage in light stretching to relieve tension."
"55","sick","sad","anxious","Try a guided meditation app to calm your thoughts."
"56","sick","sad","anxious","Talk to someone you trust about how you feel."
"57","sick","sad","anxious","Create a relaxing bedtime routine to improve sleep."
"58","sick","sad","anxious","Use calming essential oils like lavender."
"59","sick","sad","anxious","Read a book that helps distract your mind."
"60","sick","sad","anxious","Limit your exposure to stressful news or social media."
"61","sick","angry","calm","Practice deep breathing to regain your calm."
"62","sick","angry","calm","Channel your anger into a creative outlet like art."
"63","sick","angry","calm","Take a walk to clear your mind and reduce tension."
"64","sick","angry","calm","Try journaling about your feelings to process them."
"65","sick","angry","calm","Use mindfulness techniques to help calm your anger."
"66","sick","angry","calm","Consider listening to soothing music to relax."
"67","sick","angry","calm","Practice progressive muscle relaxation exercises."
"68","sick","angry","calm","Talk it out with someone who understands."
"69","sick","angry","calm","Engage in gentle yoga to promote relaxation."
"70","sick","angry","calm","Visualize a peaceful scene to help calm your mind."
"71","sick","angry","stressed","Take a moment to step outside and breathe deeply."
"72","sick","angry","stressed","Engage in physical activity to release pent-up frustration."
"73","sick","angry","stressed","Write a letter to express your feelings, even if you don’t send it."
"74","sick","angry","stressed","Consider talking to a trusted friend about your feelings."
"75","sick","angry","stressed","Use a stress ball or fidget toy to help release tension."
"76","sick","angry","stressed","Try to focus on something positive to shift your mindset."
"77","sick","angry","stressed","Practice guided imagery to help reduce stress."
"78","sick","angry","stressed","Take a short break and do something you enjoy."
"79","sick","angry","stressed","Limit caffeine and sugar to help stabilize your mood."
"80","sick","angry","stressed","Explore relaxation techniques, such as deep breathing or meditation."
"81","sick","angry","anxious","Take a few minutes to practice mindfulness or meditation."
"82","sick","angry","anxious","Write down your thoughts and feelings to gain perspective."
"83","sick","angry","anxious","Try to engage in a calming activity like reading or drawing."
"84","sick","angry","anxious","Consider talking to a counselor for professional support."
"85","sick","angry","anxious","Practice gratitude by listing three things you are thankful for."
"86","sick","angry","anxious","Use calming techniques like aromatherapy or gentle music."
